131
logo.jpg
RECOAT 1.2 MM ACRILICO BASE BO
131.png
ASPETTO;MATERICO
PESO SPECIFICO;1,00 Kg/Lt.
CODICE ARTICOLO;RECOAT1.2BO.1;RECOAT1.2BOK20
