Numero Scheda;Nome File;Nome Prodotto;Elementi Etichetta;Peso Specifico (g/cm3);Caratteristiche Particelle;VOC Espressi;Limite Massimo VOC
034;SDS - FONDO REGRUND BASE BIANCA - IT - Rev. 2.pdf;FONDOREGRUND base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H372, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;5.15;30.00
035;SDS - FONDO REFINE BASE BIANCA - IT - Rev. 2.pdf;FONDO REFINE base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H372, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;2.57;30.00
036;SDS - FONDO REFINE BASE BO - IT - Rev. 3.pdf;FONDO REFINE base bo;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H372, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.39;30.00
037;SDS - REFONDO SABBIATO BASE BIANCA - IT - Rev. 3.pdf;REFONDO SABBIATO base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.67;30.00
038;SDS - REFONDO BIANCO - IT - Rev. 3.pdf;REFONDO bianco;EUH071, EUH208, EUH210, EUH211, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;3.65;30.00
040;SDS - QUARZO BIANCO - IT - Rev. 2.pdf;QUARZO BIANCO;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H372, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;7.94;40.00
041;SDS - ZIRKON WHITE BIANCO - IT - Rev. 2.pdf;ZIRKON WHITE BIANCO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.38;40.00
042;SDS - ZIRKONBASEBIANCA - IT - Rev. 2.pdf;ZIRKON BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.38;40.00
043;SDS - ZIRKON BASE BO - IT - Rev. 2.pdf;ZIRKON BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.38;40.00
044;SDS - ESTCEM BASE BIANCA - IT - Rev. 2.pdf;ESTCEM BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.38;40.00
045;SDS - ESTCEM BASE BO - IT - Rev. 2.pdf;ESTCEM BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.38;40.00
046;SDS - DIAMANT BASE BIANCA - IT - Rev. 3.pdf;DIAMANT BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.70;40.00
