130
logo.jpg
RECOAT 1.2 MM ACRILICO BASE BIANCA
130.png
DESCRIZIONE;;Rivestimento materico a spessore con eccezionali resistenze agli agenti atmosferici ed all'abrasione. L'elevato spessore applicato (fino a 1,2 mm) permette di eliminare le eventuali imperfezioni del supporto ottenendo una finitura tipo "arenino". Speciali additivi proteggono il film dall'aggressione di alghe e muffe. Eccezionale lavorabilità. Conforme alle norme UNI EN 15457 (resistenza alla crescita dei funghi e delle alghe).
ASPETTO;;GRANULARE OPACO
PESO SPECIFICO;;-
RESIDUO SECCO;;87
PERMEABILITA AL VAPORE ACQUEO;;BASSA
PRESA DI SPORCO;;MEDIA
LAVABILITA';;ALTA
COLORE;;Bianco materico granulare associato a sistema tintometrico (Colorabile con Coloranti Universali)
ESSICCAZIONE;;	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.)
RESA PRATICA;;9-11  m2 PER SECCHIO DA 20KG
DILUIZIONE;;Pronto all'uso;;
ATTREZZI;;Frattazzo in acciaio inox, Frattazzo in plastica
SUPPORTI;;Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco, cemento armato.
CODICE ARTICOLO;;RECOAT1.2.1;;;RECOAT1.2K20
;;;;;
Attivo ( SI / NO );;SI
SCHEDA;;130
NOME;;RECOAT 1.2 MM ACRILICO BASE BIANCA
