024
logo.jpg
REMOLD ADDITIVO
024.png
DESCRIZIONE;;Additivo da usare per la diluizione quando necessario nel prodotto "PURA PITTURA NATURALE" è possibile usarlo come diluizione anche in altri prodootti se a base d'acqua previa verifica della compatibilità, esso ne migliora la scorrevolezza e resistenza alle muffe.
ASPETTO;;TRASPARENTE OPACO
PESO SPECIFICO;;-
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;ALTA
PRESA DI SPORCO;;N.C
LAVABILITA';;N.C
COLORE;;Incolore neutro
ESSICCAZIONE;;
RESA PRATICA;;
DILUIZIONE;;Pronto all'uso;;
ATTREZZI;;
SUPPORTI;;
CODICE ARTICOLO;;REMOLD1;REMOLD5;;
;;;;;
Attivo ( SI / NO );;SI
SCHEDA;;24
NOME;;REMOLD ADDITIVO
